127.0.0.1 - - [03/Dec/2021:12:22:45 +0900] "GET / HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:46 +0900] "GET /index.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /css/sub.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /image/CatchDog_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /image/layout/ico_cart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /image/layout/bu_gray.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:49 +0900] "GET /kakaoPayButton.cd HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:22:55 +0900] "GET /kakaoPay.cd HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:03 +0900] "GET /kakaoPayButton.cd HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:08 +0900] "GET /index.jsp HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:10 +0900] "GET /goodsSelectAllpaging.cd HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:10 +0900] "GET /image/goodsimg/null HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:10 +0900] "GET /image/goodsimg/qr.png HTTP/1.1" 200 41155
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:11 +0900] "GET /image/goodsimg/null HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:23 +0900] "GET /goodsSelectAllpaging.cd?curPage=2 HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:25 +0900] "GET /goodsSelectAllpaging.cd?curPage=1 HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:25 +0900] "GET /image/goodsimg/null HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:25:31 +0900] "POST /goodsSelect.cd HTTP/1.1" 200 2518
